,年龄,身高(cm),体重(kg),腰围(cm),臀围(cm),体温(℃),脉搏(次/分),呼吸(次/分),收缩压,舒张压,总热卡(千卡),门诊测血糖（次/周),自我监测血糖(次/周),空腹血糖(mmol/l),餐后血糖(mmol/l),糖化血红蛋白(%),空腹血糖(mmol/L),餐后2H血糖(mmol/L),糖化血红蛋白(%).1,空腹胰岛素(pmol/l),空腹C肽(nmol/l),餐后2H胰岛素(pmol/l),餐后2H C肽空腹C肽(nmol/l),TC（总胆固醇）,TG（甘油三酯）,LDL--C（低密度脂蛋白）,HDL--C（高密度脂蛋白）,24H尿蛋白定量(mg/24h),尿白蛋白(mg/L),BUN尿素氮(mmol/L),CREA肌酐(umol/L),WBC(×109/L),中性粒胞(%),RBC( 1012/L),家族史,高血压,脑血管病变,心血管病变,视网膜病变,糖尿病肾病,周围神经病变,糖尿病足,皮肤感染,糖尿病酮症（或酸中毒）,定时定量,食物选择合理,食物搭配合理,甜食,外出就餐,其他,每周运动次数,每次运动时间,是否使用口服降糖药,是否使用胰岛素,是否使用降压药,是否使用调脂药,胃纳,活动情况,心电图,心脏B超,眼底检查情况,肾ECT,神经肌电图,血管病变（多普勒）,奇形,干裂,灰趾甲,自觉足部症状,足背动脉搏动,每天足部检查 ,每天足部清洁,足部神经感觉阈值结果,ABI检查结果,抽烟,喝酒,程度分级,血糖记录(是/否)
总热卡(千卡),0.019688202,0.021549283,0.030365335,0.0,0.020341672,0.019646646,0.020490913,0.023009928,0.0,0.0,0.0,0.027665444,0.014890336,0.0,0.019199636,0.0,0.02435148,0.0,0.018530546,0.0,0.0,0.030999482,0.018602101,0.026635714,0.0,0.0,0.022605833,0.0,0.02579834,0.019165505,0.020217866,0.022549612,0.021543456,0.0,0.0,0.023937436,0.014456286,0.02689553,0.0,0.0,0.021516183,0.015802208,0.019187707,0.0,0.0,0.024959117,0.019971775,0.03368858,0.0,0.028264748,0.026585093,0.0,0.021402696,0.0,0.0,0.0,0.0,0.022871686,0.0,0.026146073,0.02602415,0.0,0.0,0.022606287,0.0,0.0,0.028610362,0.022009669,0.019937843,0.029410962,0.0,0.030407635,0.0,0.0,0.019384112,0.0,0.0
门诊测血糖（次/周),0.0,0.023657758,0.0257255,0.0,0.026675314,0.021982899,0.0,0.016326332,0.0,0.0,0.029782543,0.0,0.019616462,0.0,0.0,0.0,0.022348695,0.0,0.02305183,0.0,0.0,0.019986285,0.019964192,0.0,0.022340616,0.0,0.04409023,0.0,0.02922723,0.0,0.025493918,0.018625272,0.0,0.0,0.0,0.023409251,0.0,0.015295485,0.018052045,0.036464605,0.0,0.027473798,0.023537816,0.0,0.019601485,0.022068668,0.0,0.0,0.025958598,0.020096116,0.0,0.0,0.0,0.0,0.026978072,0.0,0.0,0.026098562,0.02847489,0.026605248,0.0,0.0,0.026397167,0.033837244,0.0,0.018272214,0.023788542,0.02668802,0.029616443,0.0,0.0,0.028294183,0.0,0.0,0.02789212,0.031929813,0.0
自我监测血糖(次/周),0.0,0.0,0.0,0.0,0.009932936,0.022126365,0.0,0.023124773,0.0,0.0,0.0,0.017913368,0.0,0.017756004,0.0,0.022723245,0.02575153,0.0,0.023475047,0.03055486,0.0,0.028912889,0.015030802,0.018445436,0.0,0.01856684,0.028925488,0.0,0.033886462,0.019277357,0.044048388,0.032954305,0.016548917,0.0,0.023405215,0.045589987,0.026019104,0.0,0.017941548,0.021025605,0.018497877,0.022773208,0.0,0.0,0.0,0.0,0.0,0.027502475,0.0,0.02182011,0.018205183,0.029471168,0.0,0.022009013,0.0,0.0,0.0,0.0,0.034506213,0.0,0.028160175,0.0,0.0,0.024380455,0.0,0.020002004,0.0,0.0,0.0,0.0260848,0.0,0.033482842,0.025158413,0.015473107,0.051498327,0.0,0.0
空腹血糖(mmol/l),0.0,0.0,0.026964305,0.016575966,0.0,0.02447382,0.020049246,0.017954562,0.018686382,0.017957868,0.026718257,0.023945885,0.014254837,0.0,0.017014004,0.03324276,0.0,0.0137492735,0.016093697,0.0,0.0,0.026764415,0.0,0.0,0.0,0.019678699,0.018097276,0.02943543,0.0,0.0215592,0.0,0.02177405,0.01599544,0.0,0.043386918,0.020311326,0.0,0.027453749,0.016876299,0.0,0.0,0.020077368,0.025380952,0.0,0.020081965,0.0,0.02541035,0.028114758,0.0,0.024314243,0.0,0.0,0.01697097,0.0,0.018188862,0.0,0.0,0.018572805,0.0,0.030913023,0.016576089,0.0,0.016561754,0.0,0.02531317,0.0,0.03778618,0.025851298,0.0,0.03395598,0.016922027,0.018261623,0.0123610515,0.0,0.0,0.0,0.015957057
餐后血糖(mmol/l),0.033073917,0.027206115,0.0,0.0,0.020136137,0.0,0.036051698,0.024029713,0.031551976,0.0,0.0,0.021904863,0.0,0.0,0.0,0.0,0.018873235,0.035762943,0.0,0.025374891,0.025573066,0.0,0.026070822,0.02606916,0.0,0.0,0.0,0.03577079,0.026470145,0.034883734,0.02577879,0.026096798,0.054139838,0.019591842,0.0,0.0,0.03454371,0.0,0.027757278,0.0,0.025558839,0.0,0.0,0.01952659,0.0,0.0,0.029245146,0.022364715,0.0,0.0,0.0,0.034064177,0.0,0.024008377,0.0,0.018189043,0.030277709,0.027980762,0.0,0.0,0.0,0.029313885,0.0,0.0,0.02001872,0.0,0.0,0.0,0.0,0.02782863,0.0,0.0,0.021148246,0.0,0.0,0.0,0.029382842
糖化血红蛋白(%),0.0,0.0,0.033452407,0.020915229,0.0,0.0,0.0,0.0,0.0,0.024408953,0.035295565,0.0,0.02176535,0.0,0.0,0.0,0.0,0.020056766,0.021302246,0.026927905,0.0,0.0,0.0,0.0,0.022467671,0.029232599,0.021439077,0.041552313,0.0,0.033755206,0.0,0.0,0.0,0.033691254,0.05586898,0.029869858,0.0,0.028999535,0.027235972,0.0,0.0,0.0,0.0,0.03729866,0.017491328,0.0,0.0,0.0,0.0,0.03335322,0.0,0.0,0.029531546,0.0,0.022441693,0.0,0.0,0.0,0.022786845,0.04060165,0.0,0.0,0.031160532,0.0,0.0,0.019301903,0.0,0.025921555,0.03104507,0.04257637,0.025150597,0.0,0.02022083,0.023523536,0.01905842,0.0,0.02549495
空腹血糖(mmol/L),0.028173508,0.02813289,0.0,0.026897848,0.022629691,0.0,0.0,0.036075715,0.030322673,0.02109465,0.031856563,0.0,0.0,0.0,0.021012176,0.0,0.0,0.021474212,0.0,0.026885808,0.025507744,0.0,0.02708496,0.025762975,0.041817565,0.0,0.0,0.024603913,0.025788506,0.020117182,0.032320037,0.037985496,0.0,0.0,0.0,0.0,0.024834732,0.027007204,0.028070739,0.0,0.0,0.0,0.031055858,0.040581625,0.0,0.0,0.020882228,0.0,0.0,0.0,0.0,0.037984006,0.026934396,0.0,0.0,0.0,0.02173708,0.0,0.0249339,0.0,0.0,0.034152154,0.0,0.0,0.0,0.031498734,0.0,0.0,0.02672147,0.043615587,0.0,0.0,0.0,0.0,0.0,0.016756717,0.0
餐后2H血糖(mmol/L),0.0,0.0,0.0,0.035866164,0.0,0.0,0.029996417,0.0,0.03239871,0.044827733,0.03166489,0.0,0.0,0.023284791,0.0,0.030006919,0.0,0.0,0.04925316,0.0,0.0,0.0,0.0,0.04255112,0.023928922,0.02794293,0.0,0.0,0.0,0.028520374,0.0,0.0,0.0,0.03364294,0.021751063,0.034297932,0.0,0.0,0.0,0.027091626,0.025588907,0.0,0.0,0.0,0.0,0.023040656,0.0,0.0,0.0,0.02894459,0.037419684,0.0,0.0,0.0,0.037238125,0.0,0.0,0.0,0.029935302,0.034295864,0.040891197,0.0,0.03700021,0.0,0.0,0.026877336,0.0,0.031611297,0.0,0.0,0.045185033,0.03304922,0.0,0.034268573,0.0,0.037640665,0.0
糖化血红蛋白(%).1,0.0,0.0,0.023141028,0.0,0.0,0.023281615,0.0,0.022143621,0.019749096,0.0,0.018520242,0.0,0.0,0.019726506,0.027750967,0.0210507,0.025659453,0.039009914,0.0,0.0,0.0,0.016204156,0.0,0.02143517,0.024587216,0.0,0.0,0.0,0.017357726,0.03236694,0.022804093,0.0,0.0,0.0,0.0,0.027510693,0.0,0.0,0.017493764,0.031238845,0.0,0.023461869,0.0,0.0,0.0,0.026200175,0.03749917,0.0,0.033121426,0.017350214,0.032480344,0.0,0.0,0.037736557,0.027372517,0.0,0.0,0.0,0.022458555,0.0,0.025238784,0.056165837,0.0,0.021718757,0.0,0.016212193,0.016900571,0.0,0.02802891,0.0,0.0,0.023230912,0.0,0.0,0.024098085,0.02083485,0.042805057
空腹胰岛素(pmol/l),0.0,0.020135751,0.0,0.02396359,0.020453397,0.0,0.0,0.023755481,0.0,0.031836282,0.026153151,0.0,0.0,0.024588177,0.023269985,0.024662511,0.02254146,0.026494512,0.0,0.0,0.023882566,0.0,0.0,0.023015909,0.020620607,0.01985677,0.0,0.03178188,0.0,0.016095737,0.0,0.021892369,0.024444344,0.033193253,0.0,0.023354806,0.020453293,0.02142052,0.0,0.0,0.0,0.0,0.0,0.029905949,0.02692298,0.021069663,0.01738214,0.0,0.0,0.0,0.024888722,0.0,0.0,0.027736412,0.02260249,0.029674133,0.025286615,0.0,0.0,0.0,0.0,0.021212641,0.025253993,0.0,0.022953508,0.0,0.0,0.0,0.023837265,0.019836208,0.03432349,0.0,0.0,0.026806334,0.024267478,0.0,0.026384901
空腹C肽(nmol/l),0.0,0.026680121,0.0,0.0,0.020143999,0.020130336,0.0,0.020448746,0.0,0.0,0.0,0.032632694,0.0,0.032394595,0.0,0.0,0.023946924,0.022834437,0.0,0.030771283,0.0,0.0,0.03020724,0.024947878,0.0,0.0,0.0,0.0,0.0236307,0.0,0.01818048,0.019976411,0.022222526,0.0,0.0,0.021951083,0.014428899,0.0,0.0,0.022378337,0.030329613,0.0226866,0.0,0.028210657,0.0,0.02224095,0.022173487,0.028324448,0.0,0.0,0.03100178,0.026912268,0.0,0.02434045,0.0,0.028712498,0.02333947,0.0,0.018690212,0.0,0.02752104,0.018162074,0.0,0.025741268,0.02629613,0.0,0.02490098,0.0,0.023336759,0.022999505,0.0,0.0,0.015243804,0.018100059,0.022406045,0.03746023,0.0
餐后2H胰岛素(pmol/l),0.0,0.0,0.023679886,0.0,0.0,0.02353449,0.026043804,0.028680054,0.0,0.0,0.0,0.020740816,0.02743822,0.0,0.027145505,0.0,0.0,0.014908051,0.014704432,0.0,0.0,0.0,0.0,0.0,0.028705435,0.0,0.023234837,0.035675533,0.0,0.02487453,0.0,0.023199754,0.0,0.0,0.034469996,0.031074572,0.0,0.0,0.03575734,0.0,0.0,0.0,0.0,0.0,0.018550497,0.021609893,0.0,0.033059176,0.012676979,0.031596564,0.017775286,0.0,0.020649878,0.02108066,0.027510522,0.025494937,0.030594336,0.02186965,0.0,0.0,0.020795058,0.0,0.023536196,0.031963963,0.0,0.0,0.023677796,0.02769828,0.02426499,0.037750456,0.023730002,0.0,0.017777806,0.028012943,0.0,0.0,0.014173573
餐后2H C肽空腹C肽(nmol/l),0.01914828,0.02706647,0.030798893,0.021220645,0.0,0.02418845,0.02767214,0.0,0.0,0.021918075,0.023754116,0.0,0.015147198,0.0,0.024837904,0.0,0.0,0.018447408,0.0,0.0,0.0,0.023789324,0.0,0.0,0.0,0.0,0.014560474,0.0,0.0,0.026907083,0.0,0.01871467,0.024720568,0.0,0.0,0.0,0.0,0.020465119,0.020398023,0.0,0.03231511,0.0,0.018491017,0.0,0.015010541,0.020227643,0.018694628,0.0,0.020882217,0.027666183,0.023609675,0.0,0.030564716,0.0,0.021259816,0.019393673,0.0,0.023776038,0.0,0.03027891,0.021443304,0.027238827,0.021208195,0.02417569,0.0,0.0,0.029574867,0.028010974,0.02519821,0.017319588,0.02625371,0.0,0.025000622,0.028633347,0.0,0.0,0.016414551
TC（总胆固醇）,0.01979762,0.022569476,0.025192942,0.0,0.0,0.0,0.017370092,0.0,0.021969277,0.02182223,0.030394096,0.0,0.018695418,0.0,0.024065368,0.0,0.0,0.025731184,0.019689977,0.022125008,0.0,0.026686229,0.0,0.0,0.028533114,0.02631741,0.0,0.020096324,0.0,0.021547588,0.0,0.021194832,0.02575064,0.01769041,0.020308025,0.025736295,0.0,0.03144326,0.021683129,0.023697138,0.0,0.0,0.0,0.0,0.01534067,0.021357177,0.019012216,0.0,0.0,0.020337027,0.0,0.024845453,0.020752221,0.0,0.02445514,0.0,0.0,0.018165221,0.0,0.02719174,0.0,0.017187301,0.022984676,0.03082186,0.016511593,0.01991874,0.023557581,0.0,0.017954882,0.02288307,0.016553033,0.026001673,0.0,0.0,0.0,0.0,0.019288847
TG（甘油三酯）,0.0,0.0,0.024651404,0.03677169,0.0,0.0,0.0,0.0,0.031727906,0.028732687,0.030803194,0.0,0.0,0.0,0.0,0.02916596,0.049960975,0.021574708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024580866,0.0,0.0,0.03702227,0.028825602,0.0,0.021995187,0.0,0.023982914,0.0,0.042855266,0.029297905,0.02865716,0.0,0.0,0.031752273,0.0,0.019014977,0.031650484,0.0,0.0,0.03418596,0.02561283,0.0,0.0,0.0,0.0,0.036118545,0.0,0.025780039,0.0,0.041783515,0.035333864,0.0,0.0,0.028282193,0.029789468,0.0,0.028674789,0.032506406,0.0,0.0,0.0,0.026069943,0.031585153,0.0,0.0,0.0,0.023644945,0.022996752
LDL--C（低密度脂蛋白）,0.02423464,0.0,0.0,0.0,0.0,0.0,0.0,0.019036034,0.019546617,0.0,0.02723319,0.0,0.0,0.0,0.0179466,0.028504891,0.026223551,0.018273065,0.0,0.017796036,0.02608658,0.032849725,0.018220041,0.023235006,0.02977543,0.0,0.0,0.0,0.023406764,0.020825343,0.025028156,0.0,0.023833074,0.0,0.0,0.0,0.0,0.01787534,0.04223075,0.024220338,0.0,0.03270989,0.027461324,0.020374835,0.0,0.021323333,0.017849814,0.02736512,0.0,0.0,0.022276191,0.0,0.013931891,0.0,0.0,0.0,0.016822409,0.0,0.026327796,0.0,0.01663564,0.017227028,0.0,0.025437478,0.030218383,0.029920153,0.021384118,0.0,0.02298718,0.0,0.021656858,0.021118542,0.0,0.0,0.028261963,0.021057487,0.015375644
HDL--C（高密度脂蛋白）,0.0,0.023823839,0.0,0.0285328,0.0,0.0,0.0,0.0,0.0,0.03782263,0.029531857,0.0,0.030075103,0.026655108,0.020810269,0.0,0.0,0.033890106,0.0,0.0,0.020174274,0.0,0.0,0.0,0.0,0.024206068,0.0,0.03594529,0.0,0.027810045,0.0,0.0,0.024008552,0.0,0.0,0.0,0.02731624,0.022680517,0.0,0.0,0.0,0.0,0.021015177,0.016697526,0.042800747,0.0,0.028517576,0.0,0.033077095,0.0,0.02039923,0.0,0.025636435,0.0,0.033869375,0.03513619,0.022132456,0.0,0.0,0.0,0.0,0.03923467,0.03204135,0.0,0.0,0.0,0.032971803,0.021630052,0.035038374,0.026203165,0.014042626,0.0,0.01810711,0.02467948,0.02575425,0.0,0.0445654
24H尿蛋白定量(mg/24h),0.0,0.0377345,0.0,0.025831183,0.0,0.0,0.0,0.0,0.0,0.03204937,0.04861274,0.0,0.02654726,0.04085276,0.0,0.04823762,0.0,0.0,0.018990165,0.040329948,0.037066467,0.0,0.0,0.023444552,0.022068106,0.035437945,0.0,0.0,0.04064353,0.0,0.0,0.0,0.0,0.037539084,0.04285117,0.0,0.026758552,0.0,0.0,0.0,0.03867815,0.0286706,0.0,0.02861573,0.0,0.0,0.0,0.0,0.0,0.0,0.023339419,0.03757689,0.0,0.0,0.0,0.0,0.02989874,0.0,0.028252501,0.0,0.0,0.0,0.0,0.0,0.0,0.03869059,0.0,0.033192642,0.035846777,0.0,0.0,0.0,0.016577799,0.025253816,0.027048366,0.026502095,0.0
尿白蛋白(mg/L),0.020505164,0.02923602,0.027400918,0.020861378,0.0,0.0,0.0,0.0,0.0,0.020927064,0.028512726,0.0,0.036535647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02594591,0.027427873,0.0,0.0,0.024065822,0.0,0.026685176,0.0,0.0,0.0,0.029615177,0.0,0.0,0.0,0.032088246,0.031571552,0.02315646,0.038189624,0.022029687,0.0,0.0,0.0,0.028665712,0.0,0.03237519,0.035412177,0.0,0.0,0.021010209,0.021371795,0.0,0.0,0.02326729,0.0,0.023618044,0.019605936,0.042133644,0.016278772,0.028518187,0.01866732,0.0,0.02071719,0.032683793,0.03175477,0.0,0.016297653,0.020745048,0.02440824,0.03941334,0.0,0.017237667,0.0,0.0,0.0,0.0,0.023621716,0.0
BUN尿素氮(mmol/L),0.0,0.0,0.033413175,0.0,0.037188448,0.02863131,0.036732487,0.038378388,0.0,0.022865416,0.0,0.01663094,0.021578094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023810841,0.025439829,0.0,0.038246833,0.0,0.0,0.0,0.019852977,0.0,0.026243968,0.033232108,0.029308809,0.0,0.040724304,0.038101867,0.038194824,0.0,0.0,0.0,0.0,0.022294797,0.028967591,0.0,0.0,0.028579047,0.024119101,0.029326469,0.0,0.0,0.0,0.03459162,0.021580694,0.0,0.025983837,0.0,0.022602366,0.0,0.0,0.021449072,0.039360065,0.0,0.0,0.023211788,0.022049762,0.0,0.0,0.0,0.022558395,0.020787228,0.019668568,0.0,0.033433124,0.0
CREA肌酐(umol/L),0.03544988,0.0,0.022890018,0.0,0.0,0.021563333,0.01958523,0.026925772,0.0,0.0,0.0,0.019928746,0.0,0.017717522,0.019406397,0.019227723,0.022307884,0.019338084,0.01991823,0.0,0.014890238,0.02676477,0.017474022,0.025733484,0.022733936,0.0,0.03487185,0.0,0.0231935,0.018583048,0.0,0.0,0.021832902,0.0,0.023315283,0.039141733,0.019331474,0.025709901,0.027647804,0.0,0.023589632,0.014570286,0.0,0.0234643,0.0,0.023597429,0.0,0.023378206,0.0,0.0,0.014413373,0.0,0.017959144,0.0,0.0,0.021772958,0.0,0.016479868,0.0306429,0.0,0.017557194,0.0,0.0,0.023466386,0.00827253,0.021957176,0.0,0.0,0.0,0.025524488,0.0,0.015991338,0.020525753,0.0,0.032177493,0.0,0.023558378
