,年龄,身高(cm),体重(kg),腰围(cm),臀围(cm),体温(℃),脉搏(次/分),呼吸(次/分),收缩压,舒张压,总热卡(千卡),门诊测血糖（次/周),自我监测血糖(次/周),空腹血糖(mmol/l),餐后血糖(mmol/l),糖化血红蛋白(%),空腹血糖(mmol/L),餐后2H血糖(mmol/L),糖化血红蛋白(%).1,空腹胰岛素(pmol/l),空腹C肽(nmol/l),餐后2H胰岛素(pmol/l),餐后2H C肽空腹C肽(nmol/l),TC（总胆固醇）,TG（甘油三酯）,LDL--C（低密度脂蛋白）,HDL--C（高密度脂蛋白）,24H尿蛋白定量(mg/24h),尿白蛋白(mg/L),BUN尿素氮(mmol/L),CREA肌酐(umol/L),WBC(×109/L),中性粒胞(%),RBC( 1012/L),家族史,高血压,脑血管病变,心血管病变,视网膜病变,糖尿病肾病,周围神经病变,糖尿病足,皮肤感染,糖尿病酮症（或酸中毒）,定时定量,食物选择合理,食物搭配合理,甜食,外出就餐,其他,每周运动次数,每次运动时间,是否使用口服降糖药,是否使用胰岛素,是否使用降压药,是否使用调脂药,胃纳,活动情况,心电图,心脏B超,眼底检查情况,肾ECT,神经肌电图,血管病变（多普勒）,奇形,干裂,灰趾甲,自觉足部症状,足背动脉搏动,每天足部检查 ,每天足部清洁,足部神经感觉阈值结果,ABI检查结果,抽烟,喝酒,程度分级,血糖记录(是/否)
WBC(×109/L),0.031151688,0.043947246,0.02399852,0.0,0.05417325,0.032352414,0.03647358,0.0,0.0,0.023003293,0.0,0.037580773,0.024527239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07074205,0.023359686,0.034206476,0.0,0.05461871,0.023645986,0.0,0.057607304,0.0,0.029556355,0.0,0.0,0.0,0.0,0.025449086,0.04591332,0.0,0.035573587,0.0,0.030735092,0.04116931,0.037872277,0.0,0.0,0.0,0.0,0.0,0.0,0.021371648,0.061986256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031413358,0.0,0.0,0.0,0.0,0.032443143,0.0,0.03939588,0.0,0.0,0.0,0.032935884,0.0,0.0,0.0,0.0,0.0
中性粒胞(%),0.037478257,0.0,0.05090294,0.0,0.03297813,0.018366868,0.03318933,0.03913211,0.017639687,0.0,0.022566931,0.0,0.0,0.0,0.045828257,0.0,0.0,0.027389001,0.0,0.0,0.0,0.023523351,0.051505983,0.053824898,0.027817667,0.0,0.0,0.0,0.008159224,0.03250017,0.023183042,0.01820705,0.0,0.0,0.0,0.02264641,0.019693848,0.02790962,0.024449859,0.025635814,0.0,0.0,0.038234122,0.0,0.0,0.033493232,0.010115629,0.0,0.0,0.016258333,0.0,0.0,0.011662587,0.0,0.0,0.0,0.0,0.06730985,0.0,0.044860683,0.03387601,0.0,0.0,0.03391248,0.0,0.0,0.023267206,0.0,0.0,0.0,0.0,0.027823238,0.0,0.0,0.0,0.0,0.0
RBC( 1012/L),0.0,0.0,0.028934596,0.031424068,0.014979043,0.0,0.038456447,0.022470424,0.01933923,0.0,0.0,0.0,0.0,0.0,0.018131271,0.0,0.022007382,0.0,0.0,0.0,0.0,0.0,0.03206561,0.0,0.013457487,0.0,0.0,0.038013823,0.0,0.0,0.013898892,0.02267219,0.0,0.0,0.0,0.026354734,0.014164044,0.0,0.0,0.0,0.0,0.0,0.0,0.050402462,0.06515796,0.026800267,0.021255778,0.0,0.015351639,0.0,0.0,0.0,0.0,0.023036312,0.03122097,0.0,0.052056745,0.028480235,0.013928845,0.0,0.0,0.016210241,0.032937627,0.025367409,0.027125934,0.0,0.025908206,0.0,0.022795668,0.0,0.047166992,0.0,0.0,0.0,0.0,0.031704545,0.0
家族史,0.0,0.019701771,0.03510093,0.0,0.0,0.0,0.0,0.01609065,0.0,0.0,0.023635024,0.025807943,0.019745776,0.07175161,0.0,0.0,0.0,0.0,0.016799685,0.0,0.0,0.023176383,0.017988976,0.0,0.016925702,0.0,0.015304009,0.0,0.034289613,0.0,0.0,0.011996657,0.0,0.0,0.0,0.02975213,0.01932601,0.02448588,0.021641092,0.0,0.0,0.0,0.04918716,0.0,0.025822297,0.0,0.0,0.0,0.011378612,0.02998617,0.0,0.0,0.009311434,0.0,0.01588239,0.026095232,0.023278661,0.014819924,0.01610422,0.019830564,0.0,0.0,0.01694909,0.024991618,0.0,0.01939074,0.032734934,0.029482858,0.047209095,0.0,0.0,0.0,0.009294616,0.0,0.013922749,0.0,0.0
高血压,0.038336862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036266472,0.030074108,0.050515804,0.0,0.0,0.041336562,0.0,0.046276323,0.030892612,0.0,0.061083496,0.024103338,0.0,0.0208403,0.023754679,0.03404013,0.031025833,0.0,0.0,0.0,0.0,0.0,0.0657813,0.0,0.0,0.0,0.04905199,0.0,0.0,0.0,0.0,0.034424644,0.0,0.0,0.02854816,0.0,0.0,0.0,0.0,0.0,0.010341094,0.047095723,0.0,0.024685737,0.0,0.0,0.036174178,0.0,0.0,0.0,0.029214388,0.01817433,0.0,0.0,0.0,0.0,0.0,0.05801713,0.048260305,0.025767742,0.0,0.0,0.0,0.049193975,0.0,0.0,0.0,0.03721565,0.0
脑血管病变,0.016412992,0.0,0.01963818,0.021413036,0.0,0.04178583,0.0,0.039185293,0.0,0.01330208,0.023148496,0.0,0.022622885,0.0,0.014759409,0.014360301,0.044979982,0.025147146,0.0,0.0,0.010461085,0.013163712,0.019225396,0.020041525,0.05744309,0.0,0.0,0.0,0.020328138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0316141,0.038819257,0.0,0.0,0.0,0.018648108,0.027441,0.013824087,0.017192952,0.03416596,0.0,0.02626984,0.0,0.0,0.0,0.03273195,0.0,0.032119103,0.023177689,0.014872854,0.014511957,0.024163507,0.027650746,0.0,0.0,0.02788032,0.021609427,0.0,0.0,0.0,0.031304225,0.033246793,0.0,0.012618599,0.0,0.0,0.0,0.031316247,0.009724599,0.014725511
心血管病变,0.0,0.0,0.0,0.023680327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025677126,0.049585108,0.060005087,0.0,0.0,0.0,0.023812102,0.0,0.032189183,0.023467481,0.0,0.0,0.0,0.0,0.036446806,0.026740294,0.0275425,0.0,0.07199164,0.0,0.0,0.035547342,0.021032868,0.04744686,0.0,0.051964458,0.0,0.030223424,0.0,0.06304754,0.0,0.0,0.04288181,0.0,0.0,0.0,0.0,0.0,0.0,0.033674058,0.0,0.040799115,0.015783133,0.0,0.026628958,0.0,0.0,0.0,0.0,0.04241721,0.0,0.0,0.0,0.022787126,0.0,0.0,0.0,0.0,0.11736837,0.014045045,0.0,0.039516695,0.028178992,0.0,0.0,0.0
视网膜病变,0.022611966,0.0199917,0.0,0.0,0.024156528,0.06649281,0.03069027,0.04227539,0.0,0.0,0.0,0.0,0.0,0.0,0.022995802,0.0,0.0,0.018476805,0.0,0.020715326,0.0,0.0,0.0,0.0,0.0,0.0,0.025078036,0.05144977,0.021015415,0.0,0.031607274,0.0,0.0,0.02512393,0.0,0.036146566,0.042227663,0.020001749,0.0,0.019969426,0.0,0.0,0.028255712,0.0,0.031527206,0.017728996,0.045621175,0.0,0.0,0.047219887,0.0,0.0,0.0,0.025419924,0.019807935,0.06151929,0.0,0.0,0.0,0.0,0.02301378,0.0,0.033367965,0.0242445,0.0,0.0,0.024154019,0.0,0.022234578,0.0,0.0,0.0,0.0,0.058394544,0.027012026,0.017070211,0.0
糖尿病肾病,0.0,0.033262044,0.0,0.0,0.02704191,0.0,0.0,0.03058763,0.0,0.0,0.0,0.0,0.0,0.051340237,0.0,0.032827552,0.041062117,0.0,0.03749038,0.029332947,0.026617367,0.0,0.0,0.027776737,0.0,0.028585983,0.0,0.03698376,0.037862685,0.0,0.0,0.022890138,0.028348256,0.025093893,0.0,0.035127617,0.029830089,0.024409298,0.0,0.0,0.0,0.015313299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028002141,0.0,0.029282263,0.0,0.0,0.04660757,0.0,0.03395399,0.0327412,0.055240117,0.0,0.0,0.0,0.0,0.02484469,0.0,0.0,0.0,0.0,0.0,0.028004482,0.0,0.027984368,0.028860392,0.03196976,0.0
周围神经病变,0.025708672,0.0,0.0,0.0,0.0,0.0,0.020238133,0.027852045,0.0,0.0,0.0,0.0142910555,0.025655866,0.0,0.025750816,0.031291272,0.027691377,0.026720237,0.0,0.013640405,0.053962305,0.023262085,0.03831771,0.049992066,0.0,0.0,0.014237491,0.0,0.013065871,0.034654956,0.030931422,0.0,0.0,0.0,0.04876197,0.041455723,0.0,0.03797638,0.0,0.0,0.0,0.018003104,0.0,0.0,0.0,0.0,0.011471819,0.03287009,0.0,0.0,0.020286307,0.0,0.009685111,0.0,0.0,0.016136475,0.020917865,0.025715414,0.0,0.04260829,0.024096426,0.0,0.013267812,0.0,0.015100315,0.0,0.0,0.0,0.0,0.025392465,0.011938427,0.019481596,0.0,0.0,0.027991742,0.0,0.01593131
